text,label
according gran company no plans move production russia although company growing,2
technopolis plans develop stages area no less square meters order host companies working computer technologies telecommunications statement said,2
international electronic industry company elcoteq laid tens employees tallinn facility contrary earlier layoffs company contracted ranks office workers daily postimees reported,1
new production plant company would increase capacity meet expected increase demand would improve use raw materials therefore increase production profitability,0
according company updated strategy years basware targets longterm net sales growth range operating profit margin net sales,0
financing aspocomp growth aspocomp aggressively pursuing growth strategy increasingly focusing technologically demanding hdi printed circuit boards pcbs,0
last quarter componenta net sales doubled eurm eurm period year earlier moved zero pretax profit pretax loss eurm,0
third quarter net sales increased eur mn operating profit eur mn,0
operating profit rose eur mn eur mn corresponding period representing net sales,0
operating profit totalled eur mn eur mn representing net sales,0
teliasonera tlsn said offer line strategy increase ownership core business holdings would strengthen eesti telekom offering customers,0
stora enso norske skog mreal upmkymmene credit suisse first boston cfsb raised fair value shares four largest nordic forestry groups,0
purchase agreement tons gasoline delivery hamina terminal finland signed neste oil oyj average platts index september plus eight us dollars per month,0
finnish talentum reports operating profit increased eur mn eur mn net sales totaled eur mn eur mn,0
clothing retail chain seppl sales increased eur mn operating profit rose eur mn eur mn,0
consolidated net sales increased reach eur operating profit amounted eur compared loss eur prior year period,0
foundries division reports sales increased eur mn eur mn corresponding period sales machine shop division increased eur mn eur mn corresponding period,0
helsinki afx shares closed higher led nokia announced plans team sanyo manufacture g handsets nokian tyres fourthquarter earnings report beat analysts expectations dealers said,0
incap contract manufacturing services pvt ltd subsidiary incap corporation finland plans double revenues,0
board directors propose dividend eur per share eur per share paid,0
lifetree founded revenues risen average margins late,0
filippova trilateral agreement investment construction technology park st petersburg signed course forum days russian economy opened helsinki today,0
megafon subscriber base increased million users december market share number customers amounted late late according teliasonera estimates,0
net income life insurance doubled eur mn eur mn net income nonlife insurance rose eur mn eur mn corresponding period,0
net sales increased eur eur pretax profit rose eur eur usd,0
net sales surged eur teleste said eur sales came acquisitions made,0
nordea group operating profit increased percent yearonyear billion euros total revenue percent billion euros,0
operating profit ninemonth period increased eur net sales increased eur compared corresponding period,0
operating profit ninemonth period increased eur net sales increased eur compared corresponding period,0
operating profit threemonth period increased eur revenue increased eur compared corresponding period,0
brazilian unit finnish security solutions provider fsecure signed new clients last year online news source reseller web quoted division commercial director vladimir brando saying,0
company net profit rose year million euros sales million euros year company said earlier,0
lithuanian beer market made million liters january rise percent yearearlier figure lithuanian brewers association reporting citing results members,0
viking line cargo revenue increased eur mn cargo volume increased cargo units,0
fair value property portfolio doubled result kapiteeli acquisition totalled eur million,0
february finnish media company sanoma oyj hel saav said yesterday net profit almost tripled eur eur announced proposal raised payout,0
helsinki eliiv today reported eps eur increase eps eur,0
aspo plc stock exchange release february esl shipping ltd part aspo group signed new longterm contract rautaruukki corporation marine transport raw materials baltic sea,0
commission income increased eur mn lending volume rose,0
january traffic measured revenue passenger kilometres rpk went capacity measured available seat kilometres ask rose,0
januaryseptember fiskars net profit went yearonyear eur million net sales eur million eur million,0
net income life insurance rose eur mn eur mn net income nonlife insurance eur mn eur mn,0
nyrstar also agreed supply talvivaara tonnes sulphuric acid per annum use talvivaara leaching process period supply zinc concentrate,0
sales department store division hobby hall increased sales clothing store subsidiary seppala decreased,0
sales risen export markets,0
sales increased due growing market rates increased operations,0
agreement strengthens longterm partnership nokia siemens networks,0
agreement signed biohit healthcare ltd ukbased subsidiary biohit oyj finnish public company develops manufactures markets liquid handling products diagnostic test systems,0
company also estimates already carried investments lead increase net sales reached eur million,0
company order book stood bln euro bln september pct year international orders amounting mln euro mln,0
company said paper demand increased main markets including publication papers increased average paper prices percent compared last year,0
world second largest stainless steel maker said net profit threemonth period dec surged euro million us million euro us per share euro million euro per share previous year,0
within framework partnership nokia siemens networks signed initial framework purchase agreement sitronics subsidiary jsc mikron largest manufacturer exporter microelectronic components russia,0
seppala revenue increased eur finland revenue went eur sales abroad rose eur sales increased baltic countries well russia ukraine,0
shares standard chartered stan rose ftse royal bank scotland rbs shares rose barclays shares barc bcs,0
shares nokia corp rose thursday cell phone maker said thirdquarter earnings almost doubled share global handset market increased,0
financial report published friday seb said net profit soared sek bn yearearlier sek bn proposed dividend increase sek per share,0
sales department store division increased sales clothing store subsidiary seppala increased meanwhile sales hobby hall decreased,0
request finnish media company alma media newspapers research manager jari kaivooja finland futures research centre turku school economics drawn future scenario finland national economy using model developed university denver,2
sweden gallerix accumulated sek denominated sales eur denominated sales,2
company supports global customers developing new technologies offers fast route product development applications volume production,2
investment place atria plans expand moscow market,2
new agreement continuation theagreement signed earlier year lemminkainen group whereby cramo acquired entire construction machine fleet oflemminkainen talo oy ita ja pohjois suomo signed asimilar agreement said tatu hauhio managing director ofcramo finland,2
first contract envisaged construction three ferryboats option two units confirmed total value mln euro mln,0
june sold percent stake nordstjernan investment group taken option acquire eqt remaining shares,2
kesko corporation stock exchange release kesko corporation aspo plc today signed agreement aspo acquires share capital kaukotelko ltd subsidiary wholly owned kesko,0
