text,label
operating profit lower outlook published earlier,0
net sales lehdentekijat unit approximately eur million employees,1
community gardening become popular activity especially raise vegetables,1
alfa group voting stock new company telenor free float,1
eur mn net interest income,1
januarynovember group sales totalled eur mn drop period,0
include software development internet mobile telephone content communications valueadded software financial services security applications systems integration electronics ebrd informed,1
fiscal year ending september revenue customers million around transportation group revenue,1
aldata help retailers ensure merchandising selections reflect customer demand evolving shopping behavior,1
last job losses related reductions take place,1
previously company expected financial performance remain level,1
london afx fortum said agreed sell industrial maintenance service operations funds managed capman undisclosed sum,1
according original merger plan scanfil would get stake combined business,1
cet arcelormittal lost eur euronext paris coming lead bluechip fallers,0
profit taxes eur mn compared eur mn previous year,2
donations universities annual general meeting authorized board directors donate max,1
finnish silicon wafer technology company okmetic oyj omx helsinki okmv said wednesday september invest eurm sensor wafer business,1
aspo net sales totaled eur million,1
consolidated operating profit continuing operations decreased eur mn eur mn,0
operating profit rose eur mn eur corresponding period,2
aldata share space optimization vision apollo user group category management association conferences company unveil new solution combines business intelligence space planning data conferences,1
pretax profit rose eur mn eur corresponding period,2
ahlstrom employees serve customers via sales offices production facilities countries six continents,1
second successful effort financial investor year,2
first contract envisaged construction three ferryboats option two units confirmed total value mln euro mln,2
following issue new shares constitute percent firm capital,1
unit prices straddle carriers vary eur eur company added,1
deal means ten persons three countries transfer tieto,1
consumption forecast grow,2
marathon percent stake plx said according bloomberg,1
also turned earnings per share eps eur versus loss per share eur,2
see slide show newest product releases fiskars,1
bids offers include least shares value shares must correspond least eur,1
tomtom given assurances continue sell maps competitors wins eu approval,2
member hk ruokatalo group finland scan launching joint venture slaughterhouse team ugglarp skne southern sweden,1
harold w young independent broker working closely several retailers including ahold usa market basket cvs bj wholesale club hannaford cumberland farms,1
construction volumes meanwhile grow rate percent annually,2
metso delivery include complete coated board line related air systems two winders,1
usbased corp talks scandinavian telecoms company teliasonera sell stake uzbek cellular operator coscom executive coscom told interfax,1
business divested generates consolidated net sales eur million annually currently employees,1
finnish suominen flexible packaging cutting jobs unit tampere two nastola finland,0
adpnews sep finnish silicon wafers maker okmetic oyj hel okmv said reduce number clerical workers worldwide result personnel negotiations completed today,0
based negotiations personnel indicated willingness move new location,1
metso paper delivery comprise advantage dct tissue machine including quality control distributed control systems qcsdcs,1
boomeranger boats oy specialises boat building designs manufactures sells customised rigid inflatable boats rib primarily baltic sea market,1
original name componenta ml subsidiary finnish componenta group changed ml components company seen growth q comparison q,2
bosse added trygvesta not financial strength acquire entire unit,0
mreal plans discontinue production standard coated fine paper hallein gohrsmhle mills,1
may finnish company lemminkainen oyj hel lems said today construct office building toolonlahti downtown helsinki without disclosing financial details,1
finnish consulting engineering group poyry plc omx helsinki poy said wednesday october awarded contract tanqia dibba fzc ownerengineer wastewater system dibba emirate fujairah uae,2
operating profit totalled eur mn eur mn yearonyear,2
october finnish fishing tackle company rapala vmc corp hel rapv said today net profit rose eur first nine months eur period year earlier,2
operating profit grain trading increased eur mn eur mn,2
board directors proposed extraordinary general meeting authorise board decide issuance maximum mn new shares one share issues,1
growth net sales first half compared first half,2
result distribution companies start distribute addition current product offering shimano reels rods shimano fishing tackle products exclusive basis,2
developers project predict completed april skanssi attract million visitors annually,2
espoon kaupunki awarded contracts personal care products,2
new types network elements added network conversion file updated adding information required converting message format new network element type format understood management system,1
dubai nokia announced launch comes music groundbreaking service introduces new way people enjoy music,2
energyefficient data center built combining effective energy solution stateoftheart technology,2
successful requires providing level quality satisfies customers partners,1
companies keep commercial independence continue market traditional products individually,1
mr mika korpinen apac vice president comptel concludes comptel demonstrating importance providing reliable delivery enabling timetomarket,1
oil shale feedersupply solution deliver crushed oil shale shale oil refinery already operation well novel enefit shale oil technology processing plant,1
restrictions not apply statutory dividends,1
currently quarterly applied surcharges differ significantly actual market prices,1
cosmetics collection includes eye shadow face powder lip gloss mascara accessories,1
tikkurila acquired majority stake kolorit paints autumn,1
com constantly planning new ways serve customers online comprehensive basis says matti leminen president anttila oy,2
capacity facility made finland vaahto group tons light coated paper,1
berling capital umo capital veikko laine biggest shareholders amanda capital,1
looking forward contribute srv success competence says taneli hassinen,2
mkel demanding new board company well discussions merger alma media media company talentum,1
fullfunction pc weighs kilograms measures slightly two centimeters thin,1
fourth quarter net sales increased eur mn eur mn fourth quarter,2
moreover konecranes kito intend transfer hoist distribution business konecranes japanese joint venture mhs konecranes kito,1
talvivaara secured year offtake agreement per cent main output nickel cobalt norilsk nickel entered longterm zinc streaming agreement nyrstar nv,2
operating cash flow investments totalled eur mn compared eur mn corresponding period,0
request finnish media company alma media newspapers research manager jari kaivooja finland futures research centre turku school economics drawn future scenario finland national economy using model developed university denver,1
measures included increasing synergies economies scale within grimaldi group personnel adjustments divestments redelivery excess tonnage,1
stonesoft sees great promise future ipv,2
sales security system packaging increased slightly,2
transaction tikkurila no powder coatings related operations,1
company estimates trend demand sports equipment steady amer report said,2
first industrial seek leed designation uponor new building squarefoot speculative distribution center first park lakeville,1
raw materials prices surged past year fueled part rapid industrialization china india developing nations,0
addon order contains among others control valves instrumentation well complete mill engineering electrification metso drive controls,1
far mr galvan able avoid laying workers,2
secondary antenna also used reception high power signal radar calibrate transmission channels radar,1
makes wide range mobile devices services software enable people experience music navigation video television imaging games business mobility,1
ramirent net sales second quarterended june euro million us million percent increase compared euro million thesecond quarter last year,2
district court helsinki dismissed charges court first instance,2
stora chief executive jouko karvinen described russian tariff hikes threat future forest products industry finland,0
virala oy ab allocated board directors amount eur million eur million lower maximum announced,1
pilot project proved rifd technology ideal purposes comments olli saarinen material handling supervisor yara,2
ruukki delivery volumes selling prices showed favourable development company comparable net sales grew yearonyear eurm ceo sakari tamminen said,2
