Word,Frequency
according,123
gran,2
company,971
no,53
plan,69
move,23
production,130
russia,85
although,3
growing,19
technopolis,17
develop,16
stage,11
area,96
le,19
square,23
meter,7
order,138
host,2
working,18
computer,15
technology,145
telecommunication,20
statement,27
said,544
international,45
electronic,22
industry,104
elcoteq,39
laid,10
ten,14
employee,84
tallinn,11
facility,70
contrary,1
earlier,83
layoff,28
contracted,4
rank,2
office,65
worker,15
daily,16
postimees,1
reported,53
new,267
plant,148
would,92
increase,108
capacity,52
meet,9
expected,79
demand,28
improve,22
use,58
raw,21
material,48
therefore,7
profitability,11
updated,4
strategy,38
year,332
basware,44
target,46
longterm,27
net,412
sale,501
growth,65
range,38
operating,299
profit,413
margin,29
financing,17
aspocomp,26
aggressively,1
pursuing,1
increasingly,4
focusing,8
technologically,2
demanding,6
hdi,1
printed,8
circuit,12
board,97
pcbs,3
last,83
quarter,242
componenta,22
doubled,5
eurm,98
period,266
moved,4
zero,1
pretax,40
loss,160
third,77
increased,109
eur,1310
mn,593
rose,102
corresponding,119
representing,17
totalled,51
teliasonera,29
tlsn,2
offer,59
line,80
ownership,12
core,16
business,286
holding,43
strengthen,16
eesti,8
telekom,1
offering,29
customer,139
stora,42
enso,39
norske,3
skog,3
mreal,30
upmkymmene,20
credit,33
suisse,2
first,193
boston,1
cfsb,1
raised,14
fair,19
value,102
share,435
four,29
largest,52
nordic,53
forestry,10
group,327
purchase,37
agreement,124
ton,15
gasoline,2
delivery,52
hamina,5
terminal,14
finland,337
signed,76
neste,27
oil,55
oyj,241
average,10
platts,1
index,26
september,64
plus,10
eight,8
u,102
dollar,12
per,129
month,91
finnish,512
talentum,16
report,92
totaled,48
clothing,17
retail,38
chain,34
seppl,2
consolidated,18
reach,13
amounted,37
compared,149
prior,7
foundry,5
division,45
machine,36
shop,10
helsinki,163
afx,27
closed,22
higher,26
led,6
nokia,139
announced,71
team,20
sanyo,1
manufacture,30
g,23
handset,28
nokian,12
tyre,16
fourthquarter,3
earnings,50
beat,1
analyst,30
expectation,5
dealer,8
incap,25
contract,169
manufacturing,58
service,339
pvt,5
ltd,63
subsidiary,62
corporation,130
double,11
revenue,64
director,80
propose,11
dividend,38
paid,20
lifetree,2
founded,10
risen,2
late,9
filippova,1
trilateral,1
investment,134
construction,109
park,22
st,37
petersburg,33
course,9
forum,2
day,40
russian,39
economy,7
opened,10
today,149
megafon,4
subscriber,7
base,26
million,442
user,28
december,31
market,287
number,75
estimate,32
income,26
life,22
insurance,33
nonlife,6
usd,87
surged,8
teleste,28
came,15
acquisition,79
made,50
nordea,45
percent,131
yearonyear,34
billion,65
euro,242
total,144
ninemonth,5
threemonth,7
brazilian,6
unit,135
security,42
solution,172
provider,51
fsecure,15
client,24
online,27
news,67
source,13
reseller,1
web,14
quoted,6
commercial,27
vladimir,2
brando,1
saying,6
lithuanian,8
beer,28
liter,22
january,55
rise,17
yearearlier,4
figure,17
brewer,3
association,12
reporting,18
citing,3
result,115
member,42
viking,15
cargo,20
volume,45
property,42
portfolio,24
kapiteeli,1
february,45
medium,77
sanoma,28
hel,121
saav,2
yesterday,25
almost,15
tripled,3
proposal,12
payout,1
eliiv,1
eps,45
aspo,30
plc,75
stock,102
exchange,70
release,55
esl,5
shipping,23
part,99
rautaruukki,22
marine,9
transport,14
baltic,47
sea,15
commission,10
lending,4
traffic,31
measured,4
passenger,26
kilometre,4
rpk,2
went,21
available,40
seat,7
ask,2
januaryseptember,15
fiskars,34
nyrstar,2
also,224
agreed,38
supply,61
talvivaara,19
tonne,28
sulphuric,2
acid,2
annum,3
leaching,1
process,54
zinc,7
concentrate,5
department,16
store,49
hobby,5
hall,7
seppala,5
decreased,79
export,22
due,39
rate,29
operation,165
strengthens,5
partnership,13
siemens,19
network,99
biohit,16
healthcare,7
ukbased,1
public,24
develops,8
liquid,14
handling,35
product,187
diagnostic,5
test,18
system,140
already,38
carried,19
lead,19
reached,12
book,14
stood,14
bln,8
pct,99
amounting,2
mln,290
paper,96
main,27
including,69
publication,5
price,110
world,53
second,83
stainless,14
steel,56
maker,80
dec,15
previous,28
within,21
framework,6
initial,8
sitronics,1
jsc,2
mikron,1
manufacturer,60
exporter,2
microelectronic,1
component,20
abroad,9
country,75
well,104
ukraine,8
standard,16
chartered,5
stan,1
ftse,8
royal,5
bank,144
scotland,1
rb,2
barclays,5
barc,2
bcs,2
corp,41
thursday,22
cell,6
phone,63
thirdquarter,5
global,69
financial,134
published,25
friday,34
seb,3
soared,1
sek,22
bn,30
proposed,11
meanwhile,6
request,3
alma,33
newspaper,19
research,29
manager,26
jari,2
kaivooja,1
future,30
centre,13
turku,9
school,3
economics,1
drawn,1
scenario,1
national,17
using,26
model,23
developed,41
university,12
denver,1
sweden,45
gallerix,3
accumulated,1
denominated,2
support,42
developing,22
fast,4
route,16
development,91
application,57
place,35
atrium,23
expand,27
moscow,16
continuation,4
theagreement,1
lemminkainen,16
whereby,7
cramo,25
acquired,37
entire,20
fleet,10
oflemminkainen,1
talo,2
oy,97
ita,1
ja,1
pohjois,1
suomo,1
asimilar,2
tatu,1
hauhio,1
managing,24
ofcramo,1
envisaged,3
three,37
ferryboat,1
option,60
two,85
confirmed,8
june,36
sold,29
stake,62
nordstjernan,6
taken,12
acquire,24
eqt,4
